,Name,PID
1016,Marcus Semien,semiema01
1017,Luis Severino,severlu01
1018,Bryan Shaw,shawbr01
1019,Travis Shaw,shawtr01
1020,Andrelton Simmons,simmoan01
1021,Tony Sipp,sippto01
1022,Joe Smith,smithjo05
1023,Will Smith,smithwi04
1024,Justin Smoak,smoakju01
1025,Travis Snider,snidetr01
1026,Eric Sogard,sogarer01
1027,Yangervis Solarte,solarya01
1028,Joakim Soria,soriajo01
1029,George Springer,springe01
1030,Craig Stammen,stammcr01
1031,Giancarlo Stanton,stantmi03
1032,Drew Storen,storedr01
1033,Trevor Story,storytr01
1034,Dan Straily,straida01
1035,Stephen Strasburg,strasst01
1036,Marcus Stroman,stromma01
1037,Pedro Strop,stroppe01
1038,Eugenio Suarez,suareeu01
1039,Kurt Suzuki,suzukku01
1040,Noah Syndergaard,syndeno01
1041,Masahiro Tanaka,tanakma01
1042,Julio Teheran,teherju01
1043,Josh Tomlin,tomlijo01
1044,Carlos Torres,torreca01
1045,Blake Treinen,treinbl01
1046,Mike Trout,troutmi01
1047,Mark Trumbo,trumbma01
1048,Troy Tulowitzki,tulowtr01
1049,Justin Turner,turneju01
1050,Masahiro Tanaka,tanakma01
1051,Julio Teheran,teherju01
1052,Josh Tomlin,tomlijo01
1053,Carlos Torres,torreca01
1054,Blake Treinen,treinbl01
1055,Mike Trout,troutmi01
1056,Mark Trumbo,trumbma01
1057,Troy Tulowitzki,tulowtr01
1058,Justin Turner,turneju01
1059,Masahiro Tanaka,tanakma01
1060,Julio Teheran,teherju01
1061,Josh Tomlin,tomlijo01
1062,Carlos Torres,torreca01
1063,Blake Treinen,treinbl01
1064,Mike Trout,troutmi01
1065,Mark Trumbo,trumbma01
1066,Troy Tulowitzki,tulowtr01
1067,Justin Turner,turneju01
1068,Justin Upton,uptonju01
1069,Justin Upton,uptonju01
1070,Justin Upton,uptonju01
1071,Jose Valverde,valvejo01
1072,Jason Vargas,vargaja01
1073,Justin Verlander,verlaju01
1074,Stephen Vogt,vogtst01
1075,Edinson Volquez,volqued01
1076,Joey Votto,vottojo01
1077,Jose Valverde,valvejo01
1078,Jason Vargas,vargaja01
1079,Justin Verlander,verlaju01
1080,Stephen Vogt,vogtst01
1081,Edinson Volquez,volqued01
1082,Joey Votto,vottojo01
1083,Jose Valverde,valvejo01
1084,Jason Vargas,vargaja01
1085,Justin Verlander,verlaju01
1086,Stephen Vogt,vogtst01
1087,Edinson Volquez,volqued01
1088,Joey Votto,vottojo01
1089,Michael Wacha,wachami01
1090,Adam Wainwright,wainwad01
1091,Neil Walker,walkene01
1092,Tony Watson,watsoto01
1093,Zack Wheeler,wheelza01
1094,Matt Wieters,wietema01
1095,Justin Wilson,wilsoju10
1096,Kolten Wong,wongko01
1097,Alex Wood,woodal02
1098,Michael Wacha,wachami01
1099,Adam Wainwright,wainwad01
1100,Neil Walker,walkene01
1101,Tony Watson,watsoto01
1102,Zack Wheeler,wheelza01
1103,Matt Wieters,wietema01
1104,Justin Wilson,wilsoju10
1105,Kolten Wong,wongko01
1106,Alex Wood,woodal02
1107,Michael Wacha,wachami01
1108,Adam Wainwright,wainwad01
1109,Neil Walker,walkene01
1110,Tony Watson,watsoto01
1111,Zack Wheeler,wheelza01
1112,Matt Wieters,wietema01
1113,Justin Wilson,wilsoju10
1114,Kolten Wong,wongko01
1115,Alex Wood,woodal02
1116,Christian Yelich,yelicch01
1117,Christian Yelich,yelicch01
1118,Christian Yelich,yelicch01
1119,Ryan Zimmerman,zimmery01
1120,Jordan Zimmermann,zimmejo02
1121,Ben Zobrist,zobribe01
1122,Mike Zunino,zuninmi01
1123,Ryan Zimmerman,zimmery01
1124,Jordan Zimmermann,zimmejo02
1125,Ben Zobrist,zobribe01
1126,Mike Zunino,zuninmi01
1127,Ryan Zimmerman,zimmery01
1128,Jordan Zimmermann,zimmejo02
1129,Ben Zobrist,zobribe01
1130,Mike Zunino,zuninmi01
